Prod_output_num,locations,gender,age,click_on_prod,balance,registry_to_use_time,credit_card_paid,active_member,estimated_salary,buy,UID
582,Taichung,Male,41,6,70349.48,3,0,0,178074.04,0,39
472,Tainan,Male,40,4,0,4,1,1,70154.22,0,40
465,Taipei,Female,51,8,122522.32,4,0,1,181297.65,1,41
556,Taipei,Female,61,2,117419.35,4,1,0,94153.83,0,42
834,Taipei,Female,49,2,131394.56,4,0,1,194365.76,1,43
660,Tainan,Female,61,5,155931.11,4,1,0,158338.39,0,44
776,Taichung,Female,32,4,109421.13,3,1,0,126517.46,0,45
829,Taichung,Female,27,9,112045.67,4,1,0,119708.21,1,46
637,Taichung,Female,39,9,137843.8,4,1,0,117622.8,1,47
550,Taichung,Male,38,2,103391.38,4,0,0,90878.13,0,48
776,Taichung,Female,37,2,103769.22,3,1,1,194099.12,0,49
698,Taichung,Male,44,10,116363.37,3,1,1,198059.16,0,50
585,Taichung,Male,36,5,146050.97,3,0,1,86424.57,0,51
788,Taipei,Female,33,5,0,3,0,1,116978.19,0,52
655,Taichung,Male,41,8,125561.97,4,0,1,164040.94,1,53
601,Taichung,Male,42,1,98495.72,4,1,1,40014.76,1,54
619,Taipei,Male,43,1,125211.92,4,1,0,113410.49,0,55
656,Taipei,Male,45,5,127864.4,4,1,1,87107.57,0,56
725,Taichung,Male,19,0,75888.2,4,0,1,45613.75,0,57
511,Tainan,Female,66,4,0,4,1,1,1643.11,1,58
614,Taipei,Male,51,4,40685.92,4,1,0,46775.28,0,59
742,Taichung,Male,35,5,136857,4,0,1,84509.57,0,60
687,Taichung,Female,27,9,152328.88,3,0,1,126494.82,0,61
555,Tainan,Male,33,1,56084.69,3,0,1,178798.13,0,62
684,Tainan,Male,56,8,78707.16,4,1,0,99398.36,0,63
603,Taichung,Male,26,4,109166.37,4,1,0,92840.67,0,64
751,Taichung,Female,36,6,169831.46,3,1,0,27758.36,0,65
581,Taichung,Female,34,1,101633.04,4,1,1,110431.51,0,66
735,Taichung,Male,43,10,123180.01,3,1,0,196673.28,0,67
661,Taichung,Female,35,5,150725.53,3,0,0,113656.85,0,68
675,Taipei,Female,21,8,98373.26,4,1,1,18203,0,69
738,Taichung,Male,58,2,133745.44,1,1,1,28373.86,1,70
813,Taipei,Male,29,6,0,4,1,1,33953.87,0,71
657,Tainan,Female,37,0,163607.18,4,0,0,44203.55,0,72
604,Taichung,Female,25,5,157780.84,3,1,0,58426.81,0,73
519,Taipei,Male,36,9,0,3,0,0,145562.4,0,74
735,Taipei,Female,21,1,178718.19,3,1,1,22388,0,75
664,Taipei,Male,55,8,0,3,1,0,139161.64,0,76
678,Taipei,Female,32,9,0,4,1,0,148210.64,0,77
757,Tainan,Male,33,5,77253.22,4,0,0,194239.63,0,78
416,Taichung,Female,41,10,122189.66,3,1,1,98301.61,0,79
665,Taipei,Female,34,1,96645.54,3,0,1,171413.66,0,80
777,Taipei,Female,32,2,0,4,1,1,136458.19,1,81
543,Taipei,Female,36,3,0,3,0,1,26019.59,0,82
506,Taipei,Female,34,4,90307.62,4,1,0,159235.29,0,83
493,Taipei,Female,46,4,0,3,1,1,1907.66,0,84
652,Tainan,Female,75,10,0,3,1,0,114675.75,0,85
750,Tainan,Male,22,3,121681.82,4,1,1,128643.35,1,86
729,Taipei,Male,30,9,0,3,1,1,151869.35,0,87
646,Taipei,Female,46,4,0,2,1,1,93251.42,1,88
635,Taichung,Female,28,3,81623.67,3,1,0,156791.36,0,89
647,Tainan,Female,44,5,0,2,1,0,174205.22,1,90
808,Taipei,Male,45,7,118626.55,3,1,1,147132.46,0,91
524,Taipei,Female,36,10,0,3,1,1,109614.57,0,92
769,Taipei,Male,29,8,0,3,1,0,172290.61,0,93
730,Tainan,Male,42,4,0,3,0,0,85982.47,0,94
515,Tainan,Male,35,10,176273.95,4,0,0,121277.78,0,95
773,Tainan,Male,41,9,102827.44,4,0,0,64595.25,0,96
814,Taichung,Male,29,8,97086.4,3,1,0,197276.13,0,97
710,Tainan,Male,22,8,0,3,0,1,99645.04,0,98
413,Taipei,Male,34,9,0,3,0,1,6534.18,0,99
665,Taipei,Female,40,6,0,4,1,0,161848.03,0,100
623,Taipei,Female,44,6,0,3,0,1,167162.43,0,101
738,Taipei,Male,31,9,82674.15,4,1,1,41970.72,0,102
528,Tainan,Male,36,7,0,3,1,1,60536.56,0,103
670,Tainan,Female,65,1,0,4,1,0,177655.68,1,104
622,Tainan,Female,46,4,107073.27,3,1,0,30984.59,1,105
582,Taichung,Male,32,1,88938.62,4,1,0,10054.53,0,106
785,Taichung,Female,36,2,99806.85,4,0,0,36976.52,0,107
605,Tainan,Male,33,5,150092.8,4,0,1,71862.79,0,108
479,Taichung,Male,35,9,92833.89,4,1,1,99449.86,1,109
685,Taichung,Male,30,3,90536.81,4,0,0,63082.88,0,110
538,Taichung,Male,39,7,108055.1,3,1,1,27231.26,0,111
562,Taipei,Male,42,2,100238.35,4,0,1,86797.41,0,112
675,Tainan,Male,36,9,106190.55,4,0,0,22994.32,0,113
721,Taichung,Male,28,9,154475.54,3,0,0,101300.94,1,114
628,Taichung,Female,30,9,132351.29,3,1,0,74169.13,0,115
668,Taichung,Female,37,6,167864.4,4,1,1,115638.29,0,116
506,Taipei,Female,41,1,0,3,1,1,31766.3,0,117
524,Taichung,Female,31,8,107818.63,4,1,1,199725.39,1,118
699,Taichung,Male,34,4,185173.81,3,1,1,120834.48,0,119
828,Taipei,Male,34,8,129433.34,3,0,1,38131.77,0,120
674,Tainan,Male,39,6,120193.42,4,0,1,100130.95,0,121
656,Taipei,Female,39,6,0,3,1,1,141069.88,0,122
684,Taichung,Female,48,10,126384.42,4,1,0,198129.36,0,123
625,Taipei,Female,28,3,0,4,0,1,183646.41,0,124
432,Taipei,Male,42,9,152603.45,4,1,1,110265.24,1,125
549,Taipei,Female,52,1,0,4,0,0,8636.05,1,126
625,Taichung,Male,56,0,148507.24,4,1,1,46824.08,1,127
828,Taipei,Female,41,7,0,3,1,1,171378.77,0,128
770,Taipei,Male,24,9,101827.07,4,1,1,167256.35,0,129
758,Taipei,Female,34,3,0,3,1,0,124226.16,0,130
795,Taichung,Female,33,9,130862.43,4,1,0,114935.21,0,131
687,Taipei,Male,38,9,122570.87,4,1,0,35608.88,0,132
686,Taipei,Male,25,1,0,3,0,0,16459.37,0,133
789,Taichung,Male,39,7,124828.46,3,1,0,124411.08,0,134
589,Taichung,Female,50,5,144895.05,3,1,0,34941.23,0,135
461,Taichung,Female,34,5,63663.93,4,0,0,167784.28,0,136
637,Taipei,Male,40,2,133463.1,4,0,0,93165.34,0,137
584,Tainan,Female,48,2,213146.2,4,1,1,75161.25,1,138
579,Tainan,Female,35,1,129490.36,3,0,0,8590.83,1,139
756,Taichung,Male,44,10,137452.09,4,1,1,189543.9,0,140
663,Taipei,Male,34,7,0,3,1,0,180427.24,0,141
682,Taipei,Female,43,5,125851.93,4,1,0,193318.33,0,142
793,Tainan,Male,52,2,0,4,1,1,159123.82,1,143
691,Taipei,Female,31,5,40915.55,4,1,1,126213.84,1,144
485,Tainan,Female,21,5,113157.22,4,1,0,54141.5,0,145
635,Tainan,Female,29,8,138296.94,3,1,1,141075.51,0,146
650,Taipei,Male,37,5,106967.18,4,0,1,24495.03,0,147
735,Taipei,Male,44,9,120681.63,4,1,1,74836.34,0,148
416,Taipei,Male,32,0,0,3,0,0,878.87,0,149
754,Tainan,Female,32,7,0,3,1,1,89520.75,0,150
535,Taipei,Female,48,9,0,4,1,1,149892.79,1,151
716,Tainan,Male,42,8,0,3,1,1,180800.42,0,152
539,Taipei,Male,37,2,127609.59,4,1,1,98646.22,0,153
614,Taipei,Female,43,6,0,3,1,0,109041.53,0,154
706,Tainan,Male,57,7,0,4,1,1,17941.16,1,155
758,Taipei,Female,33,7,0,3,0,1,82996.47,0,156
586,Tainan,Female,28,2,0,3,1,0,92067.35,0,157
646,Taipei,Female,73,6,97259.25,4,0,0,104719.66,0,158
631,Taichung,Female,33,4,123246.7,4,0,1,112687.57,0,159
717,Tainan,Female,22,6,101060.25,4,0,0,84699.56,0,160
684,Taipei,Male,30,2,0,3,1,1,83473.82,0,161
800,Taipei,Female,49,7,108007.36,4,0,1,47125.11,0,162
721,Tainan,Female,36,2,0,3,1,0,106977.8,0,163
683,Tainan,Male,29,0,133702.89,4,1,1,55582.54,1,164
660,Taichung,Male,31,9,125189.75,3,1,0,139874.43,0,165
704,Taichung,Female,24,7,113034.22,4,1,1,162503.48,1,166
615,Tainan,Female,41,9,109013.23,4,1,1,196499.96,0,167
667,Tainan,Female,39,2,0,3,1,1,40721.24,1,168
682,Taichung,Male,24,9,57929.81,3,0,1,53134.3,0,169
484,Taipei,Female,29,4,130114.39,4,1,1,164017.89,0,170
628,Taichung,Male,27,5,95826.49,3,1,1,155996.96,0,171
480,Taichung,Male,44,10,129608.57,4,1,1,5472.7,1,172
578,Taipei,Male,30,4,169462.09,4,1,1,112187.11,0,173
512,Taipei,Male,40,5,0,3,1,0,146457.83,0,174
484,Tainan,Female,35,7,133868.21,4,1,0,27286.1,0,175
510,Taipei,Female,30,0,0,3,1,0,130553.47,0,176
606,Taichung,Male,36,5,190479.48,3,0,1,179351.89,0,177
597,Tainan,Female,40,8,101993.12,4,0,0,94774.12,0,178
754,Taichung,Female,55,3,161608.81,4,1,1,8080.85,1,179
850,Tainan,Female,45,2,122311.21,4,1,0,19482.5,0,180
510,Taipei,Male,65,2,0,3,1,0,48071.61,0,181
778,Taichung,Female,45,1,162150.42,3,1,1,174531.27,0,182
636,Taipei,Male,42,2,0,3,1,0,55470.78,0,183
804,Taipei,Female,50,4,0,4,1,0,8546.87,1,184
514,Taipei,Male,32,8,0,3,1,1,95857.18,0,185
730,Taipei,Female,39,1,99010.67,4,1,1,194945.8,0,186
525,Tainan,Female,37,0,0,4,0,0,131521.72,0,187
616,Tainan,Male,30,5,0,3,0,0,196108.51,0,188
687,Taichung,Female,34,7,111388.18,3,1,1,148564.76,0,189
715,Taipei,Female,41,8,56214.85,3,0,1,92982.61,1,190
512,Taipei,Female,36,3,84327.77,3,1,1,17675.36,0,191
479,Taipei,Male,40,1,0,3,0,1,114996.43,0,192
601,Taipei,Male,32,8,93012.89,4,1,1,86957.42,0,193
580,Tainan,Male,29,9,61710.44,3,1,1,128077.8,0,194
807,Taipei,Male,35,3,174790.15,4,1,0,600.36,0,195
616,Tainan,Female,32,6,0,3,1,0,43001.46,0,196
721,Taichung,Male,37,3,107720.64,4,1,0,158591.12,0,197
501,Taipei,Male,57,10,0,3,1,0,47847.19,0,198
521,Taipei,Male,35,6,96423.84,4,1,1,10488.44,0,199
850,Tainan,Male,30,2,141040.01,4,1,0,5978.2,0,200
759,Taipei,Male,42,4,105420.18,4,0,0,121409.06,0,201
516,Tainan,Male,50,5,0,4,0,0,146145.93,1,202
711,Taipei,Female,38,2,129022.06,3,1,0,14374.86,1,203
512,Tainan,Male,33,3,176666.62,4,1,1,94670.77,0,204
550,Taipei,Male,37,3,0,4,1,0,179670.31,0,205
608,Tainan,Female,41,3,89763.84,4,0,1,199304.74,1,206
618,Taipei,Male,34,5,134954.53,4,1,0,151954.39,0,207
643,Taipei,Male,45,5,0,4,1,1,142513.5,1,208
671,Taipei,Male,45,2,106376.85,4,0,0,158264.62,0,209
689,Taichung,Male,33,2,161814.64,3,1,1,169381.9,0,210
603,Taipei,Male,31,8,0,3,1,0,169915.02,0,211
620,Taipei,Female,41,9,0,3,0,1,88852.47,0,212
676,Taipei,Female,34,1,63095.01,4,1,0,40645.81,0,213
572,Taichung,Male,26,4,118287.01,3,0,1,60427.3,0,214
668,Taichung,Male,47,7,106854.21,4,0,0,157959.02,1,215
695,Taipei,Male,46,7,49512.55,4,1,1,133007.34,0,216
730,Tainan,Female,33,9,0,3,0,1,176576.62,0,217
807,Taipei,Male,43,1,105799.32,3,1,1,34888.04,1,218
592,Taipei,Male,54,8,0,4,1,0,28737.71,1,219
726,Taipei,Female,31,9,114722.05,3,1,0,98178.57,0,220
514,Tainan,Male,30,7,0,4,0,0,125010.24,0,221
567,Taipei,Male,42,2,0,3,1,0,167984.61,0,222
850,Taipei,Male,33,10,0,4,1,1,4861.72,1,223
671,Taichung,Male,45,6,99564.22,4,1,0,108872.45,1,224
670,Taipei,Male,37,4,170557.91,3,1,1,198252.88,0,225
694,Taipei,Female,30,9,0,3,1,0,26960.31,0,226
547,Taichung,Female,39,6,74596.15,2,1,0,85746.52,1,227
751,Taichung,Male,50,2,96888.39,4,1,1,77206.25,1,228
594,Taichung,Female,29,3,130830.22,4,1,1,61048.53,0,229
673,Taipei,Male,72,1,0,3,0,0,111981.19,0,230
610,Taipei,Male,40,0,0,3,1,1,62232.6,0,231
512,Taipei,Female,37,1,0,3,0,0,156105.03,0,232
767,Taichung,Male,20,3,119714.25,3,0,0,150135.38,0,233
585,Taipei,Female,67,5,113978.97,3,0,0,93146.11,0,234
763,Taichung,Male,42,6,100160.75,4,1,1,33462.94,1,235
712,Taipei,Female,29,2,0,4,1,0,144375,0,236
539,Taichung,Female,43,3,116220.5,2,1,1,55803.96,1,237
668,Taipei,Female,46,2,0,2,1,1,89048.46,1,238
703,Taipei,Male,28,2,81173.83,3,0,0,162812.16,0,239
662,Tainan,Male,38,4,0,3,1,1,136259.65,0,240
725,Taichung,Female,39,5,116803.8,4,1,1,124052.97,0,241
703,Taipei,Male,37,8,105961.68,3,0,0,74158.8,0,242
659,Taichung,Male,67,6,117411.6,4,1,0,45071.09,1,243
523,Tainan,Male,34,7,0,3,1,1,62030.06,0,244
635,Taipei,Female,40,10,123497.58,4,1,1,131953.23,1,245
772,Taichung,Male,26,7,152400.51,3,1,1,79414,0,246
545,Taipei,Female,26,1,0,3,1,0,199638.56,0,247
634,Taichung,Male,24,8,103097.85,4,1,0,157577.29,0,248
739,Taichung,Male,54,8,126418.14,4,1,1,134420.75,1,249
771,Taichung,Female,36,5,77846.9,4,0,1,99805.99,0,250
587,Tainan,Female,34,1,0,3,1,0,97932.68,0,251
681,Taipei,Female,79,0,0,3,0,0,170968.99,0,252
544,Taichung,Male,37,2,79731.91,4,1,0,57558.95,0,253
696,Tainan,Male,28,8,0,4,0,1,176713.47,0,254
766,Tainan,Male,41,0,0,3,0,0,34283.23,0,255
727,Taipei,Male,34,10,0,3,1,0,198637.34,0,256
671,Taichung,Female,34,6,37266.67,3,0,1,156917.12,0,257
693,Taipei,Female,30,6,127992.25,4,1,0,50457.2,0,258
850,Taichung,Male,38,3,54901.01,4,1,0,140075.55,0,259
732,Taichung,Male,42,9,108748.08,3,1,0,65323.11,0,260
726,Tainan,Female,48,6,99906.19,4,1,1,64323.24,0,261
557,Taipei,Female,32,6,184686.41,3,1,1,14956.44,0,262
682,Taipei,Female,26,0,110654.02,4,0,0,111879.21,0,263
738,Tainan,Male,31,9,79019.8,4,1,0,18606.23,0,264
531,Tainan,Female,36,9,99240.51,4,1,1,123137.01,0,265
498,Taipei,Male,34,2,0,3,1,0,148528.24,0,266
651,Taipei,Male,36,7,0,3,1,1,13898.31,0,267
549,Tainan,Female,39,7,0,4,0,1,81259.25,1,268
791,Taichung,Female,35,7,52436.2,4,1,1,161051.75,0,269
650,Tainan,Male,41,9,0,3,0,0,191599.67,0,270
733,Taichung,Male,34,3,100337.96,2,1,1,48559.19,1,271
811,Taichung,Female,34,1,149297.19,3,1,0,186339.74,0,272
707,Taipei,Male,30,8,0,3,1,1,33159.37,0,273
712,Taichung,Male,28,4,145605.44,4,0,0,93883.53,0,274
706,Tainan,Female,37,7,0,3,1,0,110899.3,0,275
756,Taipei,Male,62,3,0,4,1,0,11199.04,1,276
777,Taipei,Female,53,10,0,3,1,1,189992.97,0,277
646,Taipei,Male,35,6,84026.86,4,0,0,164255.69,0,278
714,Taipei,Male,46,1,0,4,1,1,152167.79,1,279
782,Taipei,Male,39,8,0,3,1,0,33949.67,0,280
775,Tainan,Male,29,10,0,3,1,0,68143.93,0,281
479,Taichung,Male,35,4,138718.92,4,1,0,47251.79,1,282
807,Taipei,Male,42,7,118274.71,4,1,0,25885.72,0,283
799,Taipei,Female,22,8,174185.98,3,0,0,192633.85,0,284
675,Taipei,Male,40,7,113208.86,3,1,1,34577.36,0,285
602,Tainan,Male,29,5,103907.28,4,1,1,161229.84,0,286
475,Taipei,Female,32,8,119023.28,4,1,1,100816.29,0,287
744,Tainan,Female,26,5,166297.89,4,1,0,181694.44,0,288
588,Tainan,Male,34,10,0,3,1,1,79078.91,0,289
703,Taichung,Male,42,9,63227,4,0,0,137316.32,0,290
747,Tainan,Female,41,5,94521.17,3,1,1,194926.86,0,291
583,Taipei,Male,27,7,0,3,1,1,51285.49,0,292
750,Tainan,Female,34,9,112822.26,4,0,1,150401.53,1,293
681,Taipei,Male,38,3,0,3,1,0,112491.96,0,294
773,Taipei,Male,25,2,135903.33,4,1,1,73656.38,0,295
714,Taipei,Female,31,4,125169.26,4,1,0,106636.89,0,296
687,Tainan,Female,44,7,0,2,1,1,155853.52,1,297
511,Taipei,Male,58,0,149117.31,4,1,0,162599.51,0,298
627,Taipei,Male,33,5,0,3,1,0,103737.82,0,299
694,Taipei,Female,31,10,0,3,1,1,160990.27,0,300
616,Tainan,Female,36,6,132311.71,4,0,1,15462.84,0,301
687,Taipei,Male,35,8,0,3,1,1,10334.05,0,302
712,Taipei,Female,33,6,0,3,1,0,190686.16,0,303
553,Taipei,Male,33,4,118082.89,4,0,1,94440.45,0,304
667,Taipei,Male,31,1,119266.69,4,1,0,28257.63,0,305
731,Taipei,Male,43,2,0,4,1,0,170034.95,1,306
629,Taichung,Male,35,7,156847.29,3,1,1,31824.29,0,307
614,Taipei,Male,50,4,137104.47,4,1,1,127166.49,1,308
438,Taichung,Male,31,8,78398.69,4,1,1,44937.01,0,309
652,Taipei,Female,80,4,0,3,1,0,188603.07,0,310
729,Taichung,Male,30,6,63669.42,4,1,1,145111.37,0,311
642,Taipei,Male,38,3,0,3,0,1,171463.83,0,312
806,Taichung,Female,59,0,135296.33,4,1,1,182822.5,0,313
744,Tainan,Male,36,2,153804.44,4,1,0,87213.33,0,314
474,Tainan,Male,37,3,0,3,0,1,57175.32,0,315
559,Taipei,Male,49,2,147069.78,4,1,1,120540.83,1,316
706,Tainan,Male,42,9,0,3,1,0,28714.34,0,317
628,Tainan,Female,22,3,0,4,1,1,85426.28,0,318
429,Taipei,Male,24,4,95741.75,4,1,1,46170.75,0,319
525,Tainan,Female,57,2,145965.33,4,1,0,64448.36,0,320
680,Taipei,Female,30,8,141441.75,4,1,0,16278.97,0,321
749,Taipei,Male,40,1,139290.41,4,1,1,182855.42,1,322
763,Taipei,Female,31,4,0,3,0,1,50404.72,0,323
734,Taipei,Male,30,3,0,3,1,1,107640.25,0,324
716,Taipei,Male,35,4,144428.87,4,1,1,134132.65,0,325
594,Taipei,Male,35,2,0,3,1,1,103480.69,0,326
644,Taipei,Female,46,9,95441.27,4,1,1,108761.05,1,327
671,Taichung,Male,35,1,144848.74,4,1,0,179012.3,0,328
664,Taichung,Male,26,7,116244.14,3,1,0,95145.14,0,329
656,Taipei,Male,50,7,0,3,0,0,72143.44,0,330
667,Tainan,Female,40,1,146502.07,4,1,1,19162.89,0,331
663,Taichung,Male,44,2,117028.6,3,0,0,144680.18,0,332
584,Taichung,Female,30,8,112013.81,4,1,1,177772.03,1,333
626,Tainan,Female,37,6,108269.37,4,1,1,5597.94,0,334
485,Taipei,Male,29,7,182123.79,4,1,1,116828.51,1,335
659,Taichung,Female,32,3,150923.74,3,0,0,174652.51,0,336
649,Taipei,Male,33,2,0,3,1,1,2010.98,0,337
805,Tainan,Female,39,5,165272.13,4,1,1,14109.85,1,338
716,Taichung,Female,39,10,115301.31,4,1,1,43527.4,1,339
642,Taichung,Female,40,6,129502.49,3,0,0,86099.23,1,340
659,Taipei,Male,31,4,118342.26,4,0,1,161574.19,0,341
545,Tainan,Female,47,5,0,3,1,0,38970.14,0,342
543,Taipei,Male,22,8,0,3,0,1,127587.22,0,343
718,Taipei,Female,25,7,0,3,1,1,30380.12,0,344
840,Taipei,Female,43,7,0,3,1,1,90908.95,0,345
630,Taichung,Female,34,9,106937.05,3,1,1,138275.01,0,346
643,Taichung,Male,59,3,170331.37,4,1,0,32171.79,0,347
654,Taichung,Female,32,1,114510.85,4,1,0,126143.23,0,348
582,Taipei,Male,39,5,0,3,1,0,129892.93,0,349
659,Tainan,Male,32,3,107594.11,3,1,0,102416.84,0,350
762,Tainan,Male,39,2,81273.13,4,1,0,18719.67,0,351
568,Tainan,Female,32,7,169399.6,4,1,1,61936.22,0,352
670,Tainan,Male,25,6,0,3,1,0,78358.94,0,353
613,Taipei,Female,45,1,187841.99,3,1,0,147224.27,0,354
539,Taipei,Male,30,0,0,3,1,1,160979.66,0,355
850,Tainan,Female,57,8,126776.3,3,1,0,132298.49,0,356
522,Tainan,Male,34,9,126436.29,4,1,1,174248.52,1,357
737,Taipei,Male,41,1,101960.74,4,1,0,123547.28,0,358
520,Taipei,Male,58,3,0,3,0,0,32790.02,0,359
706,Tainan,Male,28,3,0,3,0,0,181543.67,0,360
643,Taichung,Female,45,2,150842.93,4,0,0,2319.96,1,361
648,Taipei,Female,50,9,102535.57,4,1,0,189543.19,0,362
443,Taichung,Female,29,9,99027.61,3,1,1,10940.4,0,363
640,Taipei,Male,68,9,0,3,1,0,199493.38,0,364
628,Tainan,Female,33,3,0,4,1,0,188193.25,0,365
540,Taichung,Female,42,9,87271.41,3,1,1,172572.64,0,366
460,Taichung,Female,35,8,102742.91,3,1,0,189339.6,0,367
636,Taichung,Male,34,2,40105.51,3,0,0,53512.16,0,368
593,Taipei,Female,29,2,152265.43,4,1,1,34004.44,0,369
801,Tainan,Male,42,4,141947.67,4,1,0,10598.29,0,370
640,Taichung,Female,75,1,106307.91,3,0,0,113428.77,0,371
611,Taichung,Male,31,0,107884.81,3,1,0,183487.98,0,372
802,Taichung,Male,31,1,125013.72,4,1,0,187658.09,0,373
717,Taichung,Male,35,7,58469.37,3,1,0,172459.39,0,374
769,Taipei,Female,39,8,0,4,0,0,21016,0,375
745,Taichung,Male,45,10,117231.63,2,1,0,122381.02,1,376
572,Tainan,Male,35,4,152390.26,4,1,1,128123.66,0,377
629,Tainan,Female,30,2,34013.63,4,1,1,19570.63,0,378
687,Tainan,Female,39,2,0,2,0,1,188150.6,1,379
483,Taipei,Female,50,9,0,3,1,0,111020.24,0,380
690,Taipei,Male,36,7,101583.11,3,1,1,123775.15,0,381
492,Taichung,Female,30,10,77168.87,3,0,0,146700.22,0,382
709,Taichung,Male,28,8,124695.72,3,1,1,145251.35,0,383
705,Taichung,Male,44,3,105934.96,4,1,1,82463.69,0,384
560,Taipei,Female,66,9,0,4,1,0,15928.49,0,385
611,Tainan,Male,46,6,0,3,1,1,45886.33,0,386
730,Tainan,Male,62,2,0,3,1,0,186489.95,0,387
709,Tainan,Female,45,2,0,3,0,0,162922.65,0,388
544,Taipei,Female,21,10,161525.96,3,1,1,9262.77,0,389
712,Taichung,Female,29,7,147199.07,4,1,0,84932.4,0,390
752,Taichung,Male,38,3,183102.29,4,1,0,71557.12,0,391
648,Tainan,Male,46,9,127209,3,1,1,77405.95,1,392
556,Tainan,Male,38,8,0,3,0,1,417.41,1,393
594,Tainan,Female,24,0,97378.54,4,1,0,71405.17,0,394
645,Taichung,Female,37,2,136925.09,3,0,0,153400.24,0,395
557,Taipei,Male,33,3,54503.55,4,1,0,371.05,0,396
547,Taichung,Male,32,8,155726.85,4,1,1,67789.99,0,397
701,Taipei,Female,39,9,0,3,0,0,145894.9,0,398
616,Taipei,Female,66,1,135842.41,4,1,1,183840.51,1,399
605,Taipei,Male,52,1,63349.75,4,1,1,108887.44,0,400
593,Taichung,Female,38,4,129499.42,4,1,0,154071.27,0,401
751,Tainan,Male,52,8,0,3,0,0,179291.85,0,402
443,Tainan,Male,36,6,70438.01,3,0,0,56937.43,0,403
685,Taipei,Male,23,8,0,3,1,0,112239.03,0,404
718,Taipei,Male,36,9,0,4,1,1,45909.87,0,405
538,Tainan,Female,49,9,141434.04,4,0,1,173779.25,1,406
611,Tainan,Female,37,4,0,3,1,1,125696.26,0,407
668,Taichung,Male,37,10,152958.29,3,1,0,159585.61,0,408
537,Taichung,Female,41,3,138306.34,4,1,1,106761.47,0,409
709,Tainan,Male,23,10,0,3,0,1,129590.18,0,410
850,Taipei,Male,38,1,0,3,1,0,80006.65,0,411
745,Tainan,Female,31,3,124328.84,4,1,0,140451.52,0,412
693,Taichung,Female,41,9,181461.48,2,1,0,187929.43,1,413
795,Tainan,Male,35,8,0,3,1,1,167155.36,0,414
626,Tainan,Male,26,8,0,3,0,1,191420.71,0,415
487,Taichung,Female,61,5,110368.03,4,0,1,11384.45,1,416
556,Taipei,Female,39,9,89588.35,4,1,0,94898.1,0,417
643,Taipei,Female,46,6,0,3,0,1,106781.59,0,418
605,Taipei,Female,28,6,0,3,0,1,159508.52,0,419
756,Taichung,Female,60,3,115924.89,4,1,1,93524.19,1,420
586,Taipei,Female,38,2,0,3,1,1,87168.46,0,421
