產品使用分數,使用者地區,性別,年齡,使用累計時間,點數餘額,產品服務使用量,是否使用信用卡付月費,是否為活躍用戶,估計薪資,購買與否
699,Taichung,Male,34,4,185173.81,2,1,0,120834.48,0
828,Taipei,Male,34,8,129433.34,2,0,0,38131.77,0
674,Tainan,Male,39,6,120193.42,1,0,0,100130.95,0
656,Taipei,Female,39,6,0,2,1,0,141069.88,0
684,Taichung,Female,48,10,126384.42,1,1,1,198129.36,0
625,Taipei,Female,28,3,0,1,0,0,183646.41,0
432,Taipei,Male,42,9,152603.45,1,1,0,110265.24,1
549,Taipei,Female,52,1,0,1,0,1,8636.05,1
625,Taichung,Male,56,0,148507.24,1,1,0,46824.08,1
828,Taipei,Female,41,7,0,2,1,0,171378.77,0
770,Taipei,Male,24,9,101827.07,1,1,0,167256.35,0
758,Taipei,Female,34,3,0,2,1,1,124226.16,0
795,Taichung,Female,33,9,130862.43,1,1,1,114935.21,0
687,Taipei,Male,38,9,122570.87,1,1,1,35608.88,0
686,Taipei,Male,25,1,0,2,0,1,16459.37,0
789,Taichung,Male,39,7,124828.46,2,1,1,124411.08,0
589,Taichung,Female,50,5,144895.05,2,1,1,34941.23,0
461,Taichung,Female,34,5,63663.93,1,0,1,167784.28,0
637,Taipei,Male,40,2,133463.1,1,0,1,93165.34,0
584,Tainan,Female,48,2,213146.2,1,1,0,75161.25,1
579,Tainan,Female,35,1,129490.36,2,0,1,8590.83,1
756,Taichung,Male,44,10,137452.09,1,1,0,189543.9,0
663,Taipei,Male,34,7,0,2,1,1,180427.24,0
682,Taipei,Female,43,5,125851.93,1,1,1,193318.33,0
793,Tainan,Male,52,2,0,1,1,0,159123.82,1
691,Taipei,Female,31,5,40915.55,1,1,0,126213.84,1
485,Tainan,Female,21,5,113157.22,1,1,1,54141.5,0
635,Tainan,Female,29,8,138296.94,2,1,0,141075.51,0
650,Taipei,Male,37,5,106967.18,1,0,0,24495.03,0
735,Taipei,Male,44,9,120681.63,1,1,0,74836.34,0
416,Taipei,Male,32,0,0,2,0,1,878.87,0
754,Tainan,Female,32,7,0,2,1,0,89520.75,0
535,Taipei,Female,48,9,0,1,1,0,149892.79,1
716,Tainan,Male,42,8,0,2,1,0,180800.42,0
539,Taipei,Male,37,2,127609.59,1,1,0,98646.22,0
614,Taipei,Female,43,6,0,2,1,1,109041.53,0
706,Tainan,Male,57,7,0,1,1,0,17941.16,1
758,Taipei,Female,33,7,0,2,0,0,82996.47,0
586,Tainan,Female,28,2,0,2,1,1,92067.35,0
646,Taipei,Female,73,6,97259.25,1,0,1,104719.66,0
631,Taichung,Female,33,4,123246.7,1,0,0,112687.57,0
717,Tainan,Female,22,6,101060.25,1,0,1,84699.56,0
684,Taipei,Male,30,2,0,2,1,0,83473.82,0
800,Taipei,Female,49,7,108007.36,1,0,0,47125.11,0
721,Tainan,Female,36,2,0,2,1,1,106977.8,0
683,Tainan,Male,29,0,133702.89,1,1,0,55582.54,1
660,Taichung,Male,31,9,125189.75,2,1,1,139874.43,0
704,Taichung,Female,24,7,113034.22,1,1,0,162503.48,1
615,Tainan,Female,41,9,109013.23,1,1,0,196499.96,0
667,Tainan,Female,39,2,0,2,1,0,40721.24,1
682,Taichung,Male,24,9,57929.81,2,0,0,53134.3,0
484,Taipei,Female,29,4,130114.39,1,1,0,164017.89,0
628,Taichung,Male,27,5,95826.49,2,1,0,155996.96,0
480,Taichung,Male,44,10,129608.57,1,1,0,5472.7,1
578,Taipei,Male,30,4,169462.09,1,1,0,112187.11,0
512,Taipei,Male,40,5,0,2,1,1,146457.83,0
484,Tainan,Female,35,7,133868.21,1,1,1,27286.1,0
510,Taipei,Female,30,0,0,2,1,1,130553.47,0
606,Taichung,Male,36,5,190479.48,2,0,0,179351.89,0
597,Tainan,Female,40,8,101993.12,1,0,1,94774.12,0
754,Taichung,Female,55,3,161608.81,1,1,0,8080.85,1
850,Tainan,Female,45,2,122311.21,1,1,1,19482.5,0
510,Taipei,Male,65,2,0,2,1,1,48071.61,0
778,Taichung,Female,45,1,162150.42,2,1,0,174531.27,0
636,Taipei,Male,42,2,0,2,1,1,55470.78,0
804,Taipei,Female,50,4,0,1,1,1,8546.87,1
514,Taipei,Male,32,8,0,2,1,0,95857.18,0
730,Taipei,Female,39,1,99010.67,1,1,0,194945.8,0
525,Tainan,Female,37,0,0,1,0,1,131521.72,0
616,Tainan,Male,30,5,0,2,0,1,196108.51,0
687,Taichung,Female,34,7,111388.18,2,1,0,148564.76,0
715,Taipei,Female,41,8,56214.85,2,0,0,92982.61,1
512,Taipei,Female,36,3,84327.77,2,1,0,17675.36,0
479,Taipei,Male,40,1,0,2,0,0,114996.43,0
601,Taipei,Male,32,8,93012.89,1,1,0,86957.42,0
580,Tainan,Male,29,9,61710.44,2,1,0,128077.8,0
807,Taipei,Male,35,3,174790.15,1,1,1,600.36,0
616,Tainan,Female,32,6,0,2,1,1,43001.46,0
721,Taichung,Male,37,3,107720.64,1,1,1,158591.12,0
501,Taipei,Male,57,10,0,2,1,1,47847.19,0
521,Taipei,Male,35,6,96423.84,1,1,0,10488.44,0
850,Tainan,Male,30,2,141040.01,1,1,1,5978.2,0
759,Taipei,Male,42,4,105420.18,1,0,1,121409.06,0
516,Tainan,Male,50,5,0,1,0,1,146145.93,1
711,Taipei,Female,38,2,129022.06,2,1,1,14374.86,1
512,Tainan,Male,33,3,176666.62,1,1,0,94670.77,0
550,Taipei,Male,37,3,0,1,1,1,179670.31,0
608,Tainan,Female,41,3,89763.84,1,0,0,199304.74,1
618,Taipei,Male,34,5,134954.53,1,1,1,151954.39,0
643,Taipei,Male,45,5,0,1,1,0,142513.5,1
671,Taipei,Male,45,2,106376.85,1,0,1,158264.62,0
689,Taichung,Male,33,2,161814.64,2,1,0,169381.9,0
603,Taipei,Male,31,8,0,2,1,1,169915.02,0
620,Taipei,Female,41,9,0,2,0,0,88852.47,0
676,Taipei,Female,34,1,63095.01,1,1,1,40645.81,0
572,Taichung,Male,26,4,118287.01,2,0,0,60427.3,0
668,Taichung,Male,47,7,106854.21,1,0,1,157959.02,1
695,Taipei,Male,46,7,49512.55,1,1,0,133007.34,0
730,Tainan,Female,33,9,0,2,0,0,176576.62,0
807,Taipei,Male,43,1,105799.32,2,1,0,34888.04,1
592,Taipei,Male,54,8,0,1,1,1,28737.71,1
726,Taipei,Female,31,9,114722.05,2,1,1,98178.57,0
514,Tainan,Male,30,7,0,1,0,1,125010.24,0
567,Taipei,Male,42,2,0,2,1,1,167984.61,0
850,Taipei,Male,33,10,0,1,1,0,4861.72,1
671,Taichung,Male,45,6,99564.22,1,1,1,108872.45,1
670,Taipei,Male,37,4,170557.91,2,1,0,198252.88,0
694,Taipei,Female,30,9,0,2,1,1,26960.31,0
547,Taichung,Female,39,6,74596.15,3,1,1,85746.52,1
751,Taichung,Male,50,2,96888.39,1,1,0,77206.25,1
594,Taichung,Female,29,3,130830.22,1,1,0,61048.53,0
673,Taipei,Male,72,1,0,2,0,1,111981.19,0
610,Taipei,Male,40,0,0,2,1,0,62232.6,0
512,Taipei,Female,37,1,0,2,0,1,156105.03,0
767,Taichung,Male,20,3,119714.25,2,0,1,150135.38,0
585,Taipei,Female,67,5,113978.97,2,0,1,93146.11,0
763,Taichung,Male,42,6,100160.75,1,1,0,33462.94,1
712,Taipei,Female,29,2,0,1,1,1,144375,0
539,Taichung,Female,43,3,116220.5,3,1,0,55803.96,1
668,Taipei,Female,46,2,0,3,1,0,89048.46,1
703,Taipei,Male,28,2,81173.83,2,0,1,162812.16,0
662,Tainan,Male,38,4,0,2,1,0,136259.65,0
725,Taichung,Female,39,5,116803.8,1,1,0,124052.97,0
703,Taipei,Male,37,8,105961.68,2,0,1,74158.8,0
659,Taichung,Male,67,6,117411.6,1,1,1,45071.09,1
523,Tainan,Male,34,7,0,2,1,0,62030.06,0
635,Taipei,Female,40,10,123497.58,1,1,0,131953.23,1
772,Taichung,Male,26,7,152400.51,2,1,0,79414,0
545,Taipei,Female,26,1,0,2,1,1,199638.56,0
634,Taichung,Male,24,8,103097.85,1,1,1,157577.29,0
739,Taichung,Male,54,8,126418.14,1,1,0,134420.75,1
771,Taichung,Female,36,5,77846.9,1,0,0,99805.99,0
587,Tainan,Female,34,1,0,2,1,1,97932.68,0
681,Taipei,Female,79,0,0,2,0,1,170968.99,0
544,Taichung,Male,37,2,79731.91,1,1,1,57558.95,0
696,Tainan,Male,28,8,0,1,0,0,176713.47,0
766,Tainan,Male,41,0,0,2,0,1,34283.23,0
727,Taipei,Male,34,10,0,2,1,1,198637.34,0
671,Taichung,Female,34,6,37266.67,2,0,0,156917.12,0
693,Taipei,Female,30,6,127992.25,1,1,1,50457.2,0
850,Taichung,Male,38,3,54901.01,1,1,1,140075.55,0
732,Taichung,Male,42,9,108748.08,2,1,1,65323.11,0
726,Tainan,Female,48,6,99906.19,1,1,0,64323.24,0
557,Taipei,Female,32,6,184686.41,2,1,0,14956.44,0
682,Taipei,Female,26,0,110654.02,1,0,1,111879.21,0
738,Tainan,Male,31,9,79019.8,1,1,1,18606.23,0
531,Tainan,Female,36,9,99240.51,1,1,0,123137.01,0
498,Taipei,Male,34,2,0,2,1,1,148528.24,0
651,Taipei,Male,36,7,0,2,1,0,13898.31,0
549,Tainan,Female,39,7,0,1,0,0,81259.25,1
791,Taichung,Female,35,7,52436.2,1,1,0,161051.75,0
650,Tainan,Male,41,9,0,2,0,1,191599.67,0
733,Taichung,Male,34,3,100337.96,3,1,0,48559.19,1
811,Taichung,Female,34,1,149297.19,2,1,1,186339.74,0
707,Taipei,Male,30,8,0,2,1,0,33159.37,0
712,Taichung,Male,28,4,145605.44,1,0,1,93883.53,0
706,Tainan,Female,37,7,0,2,1,1,110899.3,0
756,Taipei,Male,62,3,0,1,1,1,11199.04,1
777,Taipei,Female,53,10,0,2,1,0,189992.97,0
646,Taipei,Male,35,6,84026.86,1,0,1,164255.69,0
714,Taipei,Male,46,1,0,1,1,0,152167.79,1
782,Taipei,Male,39,8,0,2,1,1,33949.67,0
775,Tainan,Male,29,10,0,2,1,1,68143.93,0
479,Taichung,Male,35,4,138718.92,1,1,1,47251.79,1
807,Taipei,Male,42,7,118274.71,1,1,1,25885.72,0
799,Taipei,Female,22,8,174185.98,2,0,1,192633.85,0
675,Taipei,Male,40,7,113208.86,2,1,0,34577.36,0
602,Tainan,Male,29,5,103907.28,1,1,0,161229.84,0
475,Taipei,Female,32,8,119023.28,1,1,0,100816.29,0
744,Tainan,Female,26,5,166297.89,1,1,1,181694.44,0
588,Tainan,Male,34,10,0,2,1,0,79078.91,0
703,Taichung,Male,42,9,63227,1,0,1,137316.32,0
747,Tainan,Female,41,5,94521.17,2,1,0,194926.86,0
583,Taipei,Male,27,7,0,2,1,0,51285.49,0
750,Tainan,Female,34,9,112822.26,1,0,0,150401.53,1
681,Taipei,Male,38,3,0,2,1,1,112491.96,0
773,Taipei,Male,25,2,135903.33,1,1,0,73656.38,0
714,Taipei,Female,31,4,125169.26,1,1,1,106636.89,0
687,Tainan,Female,44,7,0,3,1,0,155853.52,1
511,Taipei,Male,58,0,149117.31,1,1,1,162599.51,0
627,Taipei,Male,33,5,0,2,1,1,103737.82,0
694,Taipei,Female,31,10,0,2,1,0,160990.27,0
616,Tainan,Female,36,6,132311.71,1,0,0,15462.84,0
687,Taipei,Male,35,8,0,2,1,0,10334.05,0
712,Taipei,Female,33,6,0,2,1,1,190686.16,0
553,Taipei,Male,33,4,118082.89,1,0,0,94440.45,0
667,Taipei,Male,31,1,119266.69,1,1,1,28257.63,0
731,Taipei,Male,43,2,0,1,1,1,170034.95,1
629,Taichung,Male,35,7,156847.29,2,1,0,31824.29,0
614,Taipei,Male,50,4,137104.47,1,1,0,127166.49,1
438,Taichung,Male,31,8,78398.69,1,1,0,44937.01,0
652,Taipei,Female,80,4,0,2,1,1,188603.07,0
729,Taichung,Male,30,6,63669.42,1,1,0,145111.37,0
642,Taipei,Male,38,3,0,2,0,0,171463.83,0
806,Taichung,Female,59,0,135296.33,1,1,0,182822.5,0
744,Tainan,Male,36,2,153804.44,1,1,1,87213.33,0
474,Tainan,Male,37,3,0,2,0,0,57175.32,0
559,Taipei,Male,49,2,147069.78,1,1,0,120540.83,1
706,Tainan,Male,42,9,0,2,1,1,28714.34,0
628,Tainan,Female,22,3,0,1,1,0,85426.28,0
429,Taipei,Male,24,4,95741.75,1,1,0,46170.75,0
525,Tainan,Female,57,2,145965.33,1,1,1,64448.36,0
680,Taipei,Female,30,8,141441.75,1,1,1,16278.97,0
749,Taipei,Male,40,1,139290.41,1,1,0,182855.42,1
763,Taipei,Female,31,4,0,2,0,0,50404.72,0
734,Taipei,Male,30,3,0,2,1,0,107640.25,0
716,Taipei,Male,35,4,144428.87,1,1,0,134132.65,0
594,Taipei,Male,35,2,0,2,1,0,103480.69,0
644,Taipei,Female,46,9,95441.27,1,1,0,108761.05,1
671,Taichung,Male,35,1,144848.74,1,1,1,179012.3,0
664,Taichung,Male,26,7,116244.14,2,1,1,95145.14,0
656,Taipei,Male,50,7,0,2,0,1,72143.44,0
667,Tainan,Female,40,1,146502.07,1,1,0,19162.89,0
663,Taichung,Male,44,2,117028.6,2,0,1,144680.18,0
584,Taichung,Female,30,8,112013.81,1,1,0,177772.03,1
626,Tainan,Female,37,6,108269.37,1,1,0,5597.94,0
485,Taipei,Male,29,7,182123.79,1,1,0,116828.51,1
659,Taichung,Female,32,3,150923.74,2,0,1,174652.51,0
649,Taipei,Male,33,2,0,2,1,0,2010.98,0
805,Tainan,Female,39,5,165272.13,1,1,0,14109.85,1
716,Taichung,Female,39,10,115301.31,1,1,0,43527.4,1
642,Taichung,Female,40,6,129502.49,2,0,1,86099.23,1
659,Taipei,Male,31,4,118342.26,1,0,0,161574.19,0
545,Tainan,Female,47,5,0,2,1,1,38970.14,0
543,Taipei,Male,22,8,0,2,0,0,127587.22,0
718,Taipei,Female,25,7,0,2,1,0,30380.12,0
840,Taipei,Female,43,7,0,2,1,0,90908.95,0
630,Taichung,Female,34,9,106937.05,2,1,0,138275.01,0
643,Taichung,Male,59,3,170331.37,1,1,1,32171.79,0
654,Taichung,Female,32,1,114510.85,1,1,1,126143.23,0
582,Taipei,Male,39,5,0,2,1,1,129892.93,0
659,Tainan,Male,32,3,107594.11,2,1,1,102416.84,0
762,Tainan,Male,39,2,81273.13,1,1,1,18719.67,0
568,Tainan,Female,32,7,169399.6,1,1,0,61936.22,0
670,Tainan,Male,25,6,0,2,1,1,78358.94,0
613,Taipei,Female,45,1,187841.99,2,1,1,147224.27,0
539,Taipei,Male,30,0,0,2,1,0,160979.66,0
850,Tainan,Female,57,8,126776.3,2,1,1,132298.49,0
522,Tainan,Male,34,9,126436.29,1,1,0,174248.52,1
737,Taipei,Male,41,1,101960.74,1,1,1,123547.28,0
520,Taipei,Male,58,3,0,2,0,1,32790.02,0
706,Tainan,Male,28,3,0,2,0,1,181543.67,0
643,Taichung,Female,45,2,150842.93,1,0,1,2319.96,1
648,Taipei,Female,50,9,102535.57,1,1,1,189543.19,0
443,Taichung,Female,29,9,99027.61,2,1,0,10940.4,0
640,Taipei,Male,68,9,0,2,1,1,199493.38,0
628,Tainan,Female,33,3,0,1,1,1,188193.25,0
540,Taichung,Female,42,9,87271.41,2,1,0,172572.64,0
460,Taichung,Female,35,8,102742.91,2,1,1,189339.6,0
636,Taichung,Male,34,2,40105.51,2,0,1,53512.16,0
593,Taipei,Female,29,2,152265.43,1,1,0,34004.44,0
801,Tainan,Male,42,4,141947.67,1,1,1,10598.29,0
640,Taichung,Female,75,1,106307.91,2,0,1,113428.77,0
611,Taichung,Male,31,0,107884.81,2,1,1,183487.98,0
802,Taichung,Male,31,1,125013.72,1,1,1,187658.09,0
717,Taichung,Male,35,7,58469.37,2,1,1,172459.39,0
769,Taipei,Female,39,8,0,1,0,1,21016,0
745,Taichung,Male,45,10,117231.63,3,1,1,122381.02,1
572,Tainan,Male,35,4,152390.26,1,1,0,128123.66,0
629,Tainan,Female,30,2,34013.63,1,1,0,19570.63,0
687,Tainan,Female,39,2,0,3,0,0,188150.6,1
483,Taipei,Female,50,9,0,2,1,1,111020.24,0
690,Taipei,Male,36,7,101583.11,2,1,0,123775.15,0
492,Taichung,Female,30,10,77168.87,2,0,1,146700.22,0
709,Taichung,Male,28,8,124695.72,2,1,0,145251.35,0
705,Taichung,Male,44,3,105934.96,1,1,0,82463.69,0
560,Taipei,Female,66,9,0,1,1,1,15928.49,0
611,Tainan,Male,46,6,0,2,1,0,45886.33,0
730,Tainan,Male,62,2,0,2,1,1,186489.95,0
709,Tainan,Female,45,2,0,2,0,1,162922.65,0
544,Taipei,Female,21,10,161525.96,2,1,0,9262.77,0
712,Taichung,Female,29,7,147199.07,1,1,1,84932.4,0
752,Taichung,Male,38,3,183102.29,1,1,1,71557.12,0
648,Tainan,Male,46,9,127209,2,1,0,77405.95,1
556,Tainan,Male,38,8,0,2,0,0,417.41,1
594,Tainan,Female,24,0,97378.54,1,1,1,71405.17,0
645,Taichung,Female,37,2,136925.09,2,0,1,153400.24,0
557,Taipei,Male,33,3,54503.55,1,1,1,371.05,0
547,Taichung,Male,32,8,155726.85,1,1,0,67789.99,0
701,Taipei,Female,39,9,0,2,0,1,145894.9,0
616,Taipei,Female,66,1,135842.41,1,1,0,183840.51,1
605,Taipei,Male,52,1,63349.75,1,1,0,108887.44,0
593,Taichung,Female,38,4,129499.42,1,1,1,154071.27,0
751,Tainan,Male,52,8,0,2,0,1,179291.85,0
443,Tainan,Male,36,6,70438.01,2,0,1,56937.43,0
685,Taipei,Male,23,8,0,2,1,1,112239.03,0
718,Taipei,Male,36,9,0,1,1,0,45909.87,0
538,Tainan,Female,49,9,141434.04,1,0,0,173779.25,1
611,Tainan,Female,37,4,0,2,1,0,125696.26,0
668,Taichung,Male,37,10,152958.29,2,1,1,159585.61,0
537,Taichung,Female,41,3,138306.34,1,1,0,106761.47,0
709,Tainan,Male,23,10,0,2,0,0,129590.18,0
850,Taipei,Male,38,1,0,2,1,1,80006.65,0
745,Tainan,Female,31,3,124328.84,1,1,1,140451.52,0
693,Taichung,Female,41,9,181461.48,3,1,1,187929.43,1
795,Tainan,Male,35,8,0,2,1,0,167155.36,0
626,Tainan,Male,26,8,0,2,0,0,191420.71,0
487,Taichung,Female,61,5,110368.03,1,0,0,11384.45,1
556,Taipei,Female,39,9,89588.35,1,1,1,94898.1,0
643,Taipei,Female,46,6,0,2,0,0,106781.59,0
605,Taipei,Female,28,6,0,2,0,0,159508.52,0
756,Taichung,Female,60,3,115924.89,1,1,0,93524.19,1
586,Taipei,Female,38,2,0,2,1,0,87168.46,0
535,Taichung,Male,40,7,111756.5,1,1,0,8128.32,1
678,Taipei,Female,35,4,0,1,1,0,125518.32,0
596,Taipei,Male,39,9,0,1,1,0,48963.59,0
648,Taipei,Male,26,9,162923.85,1,1,0,98368.24,0
492,Taichung,Male,39,10,124576.65,2,1,0,148584.61,0
702,Taipei,Male,45,0,80793.58,1,1,1,27474.81,0
486,Taichung,Female,40,9,71340.09,1,1,0,76192.21,0
568,Taichung,Male,40,1,99282.63,1,0,0,134600.94,1
619,Taichung,Male,57,3,137946.39,1,1,1,72467.99,1
724,Taichung,Male,41,2,127892.57,2,0,1,199645.45,0
548,Taichung,Female,33,0,101084.36,1,1,0,42749.85,0
545,Taichung,Female,37,8,114754.08,1,1,0,136050.44,1
683,Taipei,Male,33,8,0,1,0,0,73564.44,0
762,Taipei,Female,51,3,99286.98,1,0,1,85578.63,0
627,Taichung,Female,30,4,79871.02,2,1,0,129826.89,0
516,Taipei,Male,35,10,104088.59,2,0,0,119666,0
800,Taipei,Female,38,2,168190.33,2,1,0,68052.08,0
464,Taichung,Female,42,3,85679.25,1,1,1,164104.74,0
626,Taipei,Female,35,3,0,1,0,0,80190.36,0
790,Taipei,Female,31,9,0,2,1,0,84126.75,0
534,Taipei,Female,34,7,121551.58,2,1,1,70179,0
745,Taipei,Male,46,2,122220.19,1,1,1,118024.1,0
553,Tainan,Male,47,3,116528.15,1,0,0,145704.19,1
748,Taipei,Female,26,1,77780.29,1,0,1,183049.41,0
722,Taipei,Male,37,2,0,1,0,0,120906.83,0
501,Taipei,Male,40,4,125832.2,1,1,1,100433.83,0
675,Taipei,Female,38,6,68065.8,1,0,0,138777,1
