UID,年齡,行業別,教育程度,是否以信用支付,有無逛過我們的網頁,聯絡有回應,日,月份,全部活動跟該客戶連絡次數,距離上次有多久時日沒被聯絡,前一次行銷活動的銷售結果,過往滿意程度,買A商品
U36091,48,服務業,大學,否,是,否,20,apr,1,312,失敗,3,0
U11672,36,科技,大學,否,是,否,20,apr,1,-1,未知,3,0
U29670,53,老闆,大學,否,是,否,20,apr,1,340,失敗,3,0
U9441,39,藍領,大學,否,是,否,20,apr,1,271,失敗,3,0
U21810,51,SOHO,大學,否,是,否,20,apr,1,-1,未知,3,0
U41284,42,管理,研究所,否,是,否,20,apr,2,348,失敗,3,0
U30277,33,藍領,大學,否,是,否,20,apr,2,-1,未知,3,0
U21451,29,科技,研究所,否,是,否,20,apr,1,-1,未知,3,0
U32725,36,工程,大學,否,是,否,20,apr,3,-1,未知,3,0
U35676,53,管理,研究所,否,是,否,20,apr,6,-1,未知,3,0
U32954,33,藍領,高中,否,是,否,20,apr,1,-1,未知,3,0
U44197,49,服務業,大學,否,是,否,20,apr,1,-1,未知,3,0
U4259,35,藍領,大學,否,是,是,20,apr,3,-1,未知,3,0
U39032,42,藍領,研究所,否,是,否,20,apr,2,-1,未知,3,0
U32904,33,藍領,高中,否,是,否,20,apr,3,-1,未知,3,0
U10893,37,老闆,大學,否,是,否,20,apr,2,-1,未知,3,0
U10421,29,藍領,大學,否,是,否,20,apr,4,-1,未知,3,1
U36988,45,科技,大學,否,是,否,20,apr,1,321,失敗,3,0
U42859,31,管理,研究所,否,是,否,20,apr,1,320,失敗,3,0
U13990,48,管理,研究所,否,是,否,20,apr,1,-1,未知,3,0
U23601,35,藍領,大學,否,是,否,20,apr,1,152,失敗,3,0
U14801,35,老闆,大學,否,是,否,20,apr,5,-1,未知,3,0
U18215,30,管理,研究所,否,是,否,20,apr,1,320,其他,3,0
U3069,35,老闆,大學,否,是,否,20,apr,1,271,失敗,3,0
U25080,38,藍領,大學,否,是,否,20,apr,3,-1,未知,3,0
U13321,28,失業,大學,否,否,否,20,apr,1,-1,未知,3,0
U5230,27,學生,大學,否,是,否,20,apr,1,328,失敗,3,0
U39704,43,老闆,大學,否,是,否,20,apr,2,339,其他,3,0
U20606,36,老闆,大學,否,是,否,20,apr,1,322,其他,3,0
U8486,32,藍領,大學,否,是,是,20,apr,1,-1,未知,4,0
U26854,31,藍領,大學,否,是,是,20,apr,1,151,失敗,3,0
U44764,31,藍領,高中,否,是,否,20,apr,1,-1,未知,3,0
U12265,38,服務業,大學,否,是,否,20,apr,2,-1,未知,3,0
U20649,34,藍領,大學,否,是,否,20,apr,1,-1,未知,3,0
U43149,36,管理,研究所,否,否,否,20,apr,2,-1,未知,3,1
U34860,32,服務業,大學,否,是,否,20,apr,1,-1,未知,3,0
U13367,31,管理,研究所,否,是,否,20,apr,1,-1,未知,3,0
U23731,29,藍領,大學,否,是,否,20,apr,1,341,失敗,3,0
U41770,41,藍領,大學,否,是,否,20,apr,12,348,失敗,3,0
U22076,28,科技,大學,否,是,否,20,apr,3,-1,未知,3,1
U17972,42,藍領,大學,否,否,否,20,apr,1,-1,未知,3,0
U6795,32,藍領,大學,否,是,是,20,apr,1,-1,未知,3,0
U5973,52,科技,研究所,否,是,否,20,apr,1,-1,未知,3,0
U11041,34,老闆,大學,否,是,是,20,apr,3,307,其他,3,0
U16430,33,科技,大學,否,是,否,20,apr,1,242,其他,3,0
U27774,34,藍領,大學,否,是,否,20,apr,1,-1,未知,3,0
U35196,32,藍領,大學,否,是,否,20,apr,1,-1,未知,3,0
U24111,42,藍領,高中,否,是,否,20,apr,1,-1,未知,3,0
U12453,39,科技,大學,否,是,是,20,apr,1,-1,未知,3,0
U33597,49,科技,大學,否,是,否,20,apr,1,-1,未知,3,0
U27221,32,工程,大學,否,是,否,20,apr,3,-1,未知,3,1
U12159,45,藍領,大學,否,是,否,20,apr,5,-1,未知,3,0
U28741,33,藍領,大學,否,是,否,20,apr,7,-1,未知,3,0
U8136,39,管理,研究所,否,是,否,20,apr,3,-1,未知,3,0
U43713,50,藍領,高中,否,是,是,20,apr,2,151,失敗,3,0
U37345,32,服務業,大學,否,是,否,20,apr,6,-1,未知,3,0
U5509,52,科技,大學,否,否,否,20,apr,1,-1,未知,3,1
U11015,40,科技,高中,否,是,否,20,apr,2,-1,未知,3,1
U18037,42,藍領,高中以下,否,是,否,20,apr,1,339,失敗,3,0
U12446,32,老闆,大學,否,否,否,20,apr,1,-1,未知,4,0
U2124,28,藍領,大學,否,是,否,20,apr,2,326,其他,3,0
U19845,30,管理,大學,否,是,否,20,apr,3,-1,未知,3,0
U26233,43,服務業,大學,否,是,否,20,apr,1,-1,未知,3,0
U11662,46,科技,大學,否,否,否,20,apr,2,-1,未知,3,0
U41095,37,藍領,大學,否,是,否,20,apr,1,-1,未知,3,0
U43485,50,工程,高中,否,是,否,20,apr,5,-1,未知,3,0
U18728,32,管理,研究所,否,是,是,20,apr,1,-1,未知,3,0
U37131,32,藍領,大學,否,是,否,20,apr,1,321,其他,3,0
U26825,35,藍領,高中,否,是,是,20,apr,1,-1,未知,3,0
U16325,37,藍領,大學,否,是,否,20,apr,1,-1,未知,3,0
U30985,30,服務業,高中以下,否,是,否,20,apr,1,-1,未知,3,0
U40605,46,管理,研究所,否,是,否,20,apr,1,154,失敗,3,0
U10075,61,管理,研究所,否,否,否,20,apr,3,-1,未知,3,0
U21497,37,藍領,高中,否,是,否,20,apr,3,325,失敗,3,0
U42370,36,管理,研究所,否,是,否,20,apr,1,-1,未知,3,0
U40332,30,科技,大學,否,是,否,20,apr,1,-1,未知,3,0
U27170,46,管理,高中,否,是,否,20,apr,1,-1,未知,3,1
U27622,34,管理,研究所,否,是,否,20,apr,3,152,失敗,3,0
U12200,52,服務業,大學,否,是,否,20,apr,4,-1,未知,3,0
U40657,31,藍領,高中,否,是,否,20,apr,3,336,失敗,3,0
U17580,29,老闆,大學,否,是,否,20,apr,1,-1,未知,3,0
U25585,41,藍領,大學,否,是,否,20,apr,5,-1,未知,3,0
U4679,35,科技,大學,否,是,是,20,apr,6,-1,未知,3,0
U9629,34,管理,研究所,否,否,否,20,apr,1,245,其他,3,0
U42228,43,老闆,大學,否,是,否,20,apr,2,349,失敗,3,0
U5770,50,藍領,高中,否,是,否,20,apr,1,-1,未知,3,0
U30246,34,管理,研究所,否,是,否,20,apr,2,-1,未知,3,0
U33676,30,服務業,大學,否,是,是,20,apr,6,306,其他,3,0
U17895,31,老闆,大學,否,是,是,20,apr,2,-1,未知,3,0
U18322,33,老闆,大學,否,是,否,20,apr,1,349,其他,3,0
U27446,30,失業,大學,否,否,否,20,apr,1,-1,未知,3,0
U16520,36,藍領,大學,否,是,否,20,apr,3,-1,未知,3,0
U9177,34,工程,大學,是,是,否,20,apr,1,-1,未知,3,0
U20340,40,藍領,大學,否,是,否,20,apr,1,346,失敗,3,0
U39218,22,學生,大學,否,是,否,20,apr,1,-1,未知,3,0
U15526,46,藍領,大學,否,是,否,20,apr,1,336,其他,3,0
U1685,56,服務業,大學,否,是,否,20,apr,1,-1,未知,3,0
U8307,37,藍領,高中,否,是,是,20,apr,3,-1,未知,3,0
U26264,56,科技,大學,否,是,否,20,apr,1,-1,未知,3,0
U27773,32,科技,大學,否,否,否,20,apr,1,343,失敗,3,0
U3244,31,科技,大學,否,是,否,20,apr,3,-1,未知,3,0
U12223,45,藍領,高中,否,是,否,20,apr,3,270,失敗,3,0
U14937,36,藍領,高中,否,是,否,20,apr,1,-1,未知,3,0
U12439,32,服務業,大學,否,是,否,20,apr,4,-1,未知,3,0
U34779,28,管理,大學,否,否,否,20,apr,5,-1,未知,3,1
U12444,47,管理,高中,否,是,否,20,apr,5,-1,未知,3,0
U39467,35,管理,研究所,否,是,否,20,apr,1,-1,未知,3,1
U30979,57,老闆,高中,否,是,否,20,apr,1,346,失敗,3,0
U22675,33,藍領,高中,否,是,否,20,apr,1,339,失敗,3,0
U18335,32,老闆,大學,否,是,否,20,apr,1,325,其他,3,0
U9698,43,科技,高中,否,是,否,20,apr,1,-1,未知,3,0
U19447,35,管理,研究所,否,是,否,20,apr,6,322,其他,3,0
U11279,40,藍領,高中,否,是,否,20,apr,4,-1,未知,3,0
U20467,56,失業,大學,否,是,是,20,apr,3,341,失敗,3,0
U13937,57,科技,研究所,否,是,是,20,apr,2,294,失敗,3,0
U31594,46,藍領,高中,否,是,否,20,apr,2,234,失敗,3,0
U7380,58,退休,高中,否,是,否,20,apr,1,-1,未知,3,0
U10728,22,學生,大學,否,否,否,20,apr,1,-1,未知,3,1
U6328,28,藍領,大學,否,是,否,20,apr,3,-1,未知,3,0
U41226,45,管理,研究所,否,是,否,20,apr,1,342,失敗,3,0
U11355,32,藍領,高中,否,是,是,20,apr,3,284,失敗,3,0
U29856,50,藍領,大學,否,是,否,20,apr,1,-1,未知,3,0
U7624,32,老闆,大學,否,是,是,20,apr,3,151,失敗,3,0
U23096,50,管理,研究所,否,是,是,20,apr,1,-1,未知,3,0
U8276,52,藍領,大學,否,是,是,20,apr,1,-1,未知,3,0
U25934,31,藍領,大學,否,是,否,20,apr,2,152,失敗,3,0
U42410,37,科技,大學,否,是,否,20,apr,2,-1,未知,3,0
U12827,32,科技,研究所,否,是,否,20,apr,4,-1,未知,3,0
U31274,42,藍領,高中,否,是,否,20,apr,1,-1,未知,3,0
U11940,33,藍領,大學,否,是,否,20,apr,1,322,失敗,3,0
U15844,33,服務業,大學,否,是,否,20,apr,1,-1,未知,3,0
U30813,32,管理,研究所,否,是,否,20,apr,1,-1,未知,3,0
U8934,39,管理,研究所,否,是,否,20,apr,1,-1,未知,3,0
U16764,37,服務業,大學,否,是,否,20,apr,1,-1,未知,3,0
U13538,28,科技,研究所,否,是,否,20,apr,1,82,失敗,3,1
U11201,28,學生,大學,否,是,否,20,apr,1,-1,未知,3,0
U10821,43,藍領,大學,否,是,否,20,apr,3,279,其他,3,0
U22666,51,藍領,大學,否,是,是,20,apr,3,320,其他,3,0
U28839,33,管理,研究所,否,是,否,20,apr,1,235,失敗,3,0
U41570,30,藍領,大學,否,是,否,20,apr,2,326,其他,3,0
U17735,37,老闆,研究所,否,是,否,20,apr,2,264,失敗,3,0
U42903,40,老闆,大學,否,是,是,20,apr,3,-1,未知,3,0
U5671,40,老闆,大學,否,是,否,20,apr,1,-1,未知,3,0
U29886,55,藍領,大學,否,是,否,20,apr,1,332,失敗,3,0
U40180,50,服務業,大學,否,是,否,20,apr,1,152,失敗,3,0
U26,44,藍領,大學,否,是,否,20,apr,2,151,失敗,3,0
U5844,78,退休,高中,否,否,否,20,apr,1,-1,未知,3,1
U43504,44,科技,大學,否,是,否,20,apr,1,-1,未知,3,0
U32912,39,服務業,大學,否,是,否,20,apr,1,-1,未知,3,0
U3805,46,藍領,高中,否,是,否,20,apr,1,-1,未知,3,0
U32975,35,SOHO,大學,否,是,否,20,apr,1,-1,未知,3,0
U41263,40,科技,研究所,否,是,否,20,apr,1,335,其他,3,0
U20648,34,藍領,高中,否,是,否,20,apr,4,-1,未知,3,0
U16982,39,藍領,大學,否,是,否,20,apr,1,-1,未知,3,0
U39512,36,服務業,大學,否,是,否,20,apr,1,-1,未知,3,0
U31536,37,老闆,大學,否,是,否,20,apr,3,342,其他,3,0
U10762,40,老闆,研究所,否,是,否,20,apr,1,153,失敗,3,0
U25391,35,老闆,大學,否,是,否,20,apr,4,-1,未知,3,0
U38293,46,服務業,大學,否,是,是,20,apr,2,-1,未知,3,0
U21183,42,藍領,大學,否,是,是,20,apr,2,270,失敗,3,0
U32843,43,藍領,大學,否,是,是,20,apr,3,339,失敗,3,0
U11439,33,家管,研究所,否,是,否,20,apr,1,322,失敗,3,0
U44705,39,管理,研究所,否,是,否,20,apr,1,326,其他,3,0
U6533,25,科技,研究所,否,是,是,20,apr,1,-1,未知,3,0
U25925,35,服務業,大學,否,是,否,20,apr,1,-1,未知,3,0
U2730,30,藍領,高中,否,是,否,20,apr,4,343,其他,3,0
U24821,46,管理,大學,否,是,否,20,apr,2,270,失敗,3,0
U14309,31,管理,研究所,否,是,否,20,apr,4,-1,未知,3,0
U42533,35,服務業,大學,否,否,否,20,apr,1,-1,未知,3,0
U24576,32,科技,大學,否,是,否,20,apr,1,74,失敗,3,0
U43527,32,藍領,大學,否,是,否,20,apr,1,-1,未知,3,0
U35064,28,學生,大學,否,否,否,20,apr,1,-1,未知,3,1
U29241,42,老闆,大學,否,否,是,20,apr,1,-1,未知,3,1
U18373,27,學生,大學,否,否,否,20,apr,1,-1,未知,3,0
U44823,32,老闆,大學,否,是,否,20,apr,2,348,失敗,3,0
U31763,30,學生,大學,否,否,否,20,apr,1,-1,未知,3,0
U37819,43,藍領,高中,否,是,否,20,apr,1,-1,未知,3,0
U6726,54,失業,大學,否,否,否,20,apr,1,-1,未知,3,1
U43063,36,管理,研究所,否,是,否,20,apr,2,-1,未知,3,0
U8940,27,藍領,大學,否,否,否,20,apr,1,-1,未知,3,1
U1648,36,藍領,大學,否,是,否,20,apr,5,-1,未知,3,0
U16038,44,服務業,大學,否,是,是,20,apr,2,-1,未知,3,0
U24247,48,老闆,大學,否,是,否,20,apr,2,318,失敗,3,0
U43985,38,工程,大學,否,是,是,20,apr,2,154,失敗,3,0
U22080,43,服務業,大學,否,是,否,20,apr,1,321,失敗,3,0
U19403,50,管理,研究所,否,是,否,20,apr,1,-1,未知,3,0
U39918,34,管理,研究所,否,否,否,20,apr,1,-1,未知,3,1
U33393,29,科技,研究所,否,是,否,20,apr,1,346,失敗,3,0
U35519,50,SOHO,研究所,否,是,否,20,apr,1,-1,未知,3,1
U11508,33,管理,研究所,否,是,否,20,apr,2,150,失敗,3,0
U3677,31,藍領,大學,否,是,否,20,apr,1,-1,未知,3,0
U21699,39,服務業,大學,否,是,否,20,apr,2,332,失敗,3,0
U43965,31,藍領,大學,否,是,是,20,apr,1,347,失敗,3,0
U37416,31,服務業,高中,否,是,否,20,apr,3,340,其他,3,0
U11162,46,SOHO,大學,否,否,否,20,apr,1,-1,未知,3,0
U44494,51,藍領,高中,否,是,否,20,apr,1,-1,未知,3,0
U31267,25,學生,研究所,否,是,否,20,apr,1,-1,未知,3,0
U20399,28,管理,大學,否,是,否,20,apr,1,334,失敗,3,0
U630,37,老闆,大學,否,是,否,20,apr,1,-1,未知,3,0
U8855,34,管理,研究所,否,否,否,20,apr,1,332,失敗,3,0
U27438,30,老闆,大學,否,否,否,20,apr,2,-1,未知,3,0
U17993,73,退休,研究所,否,否,否,20,apr,1,-1,未知,3,1
U9291,37,老闆,研究所,否,是,否,20,apr,1,152,失敗,3,0
U27810,44,藍領,高中,否,是,否,20,apr,3,-1,未知,3,0
U24473,28,藍領,大學,否,是,否,20,apr,1,-1,未知,3,0
U5177,40,管理,高中以下,否,是,否,20,apr,1,-1,未知,3,0
U26899,54,科技,大學,否,是,否,20,apr,1,150,其他,3,0
U43070,30,工程,研究所,否,是,否,20,apr,3,-1,未知,3,0
U9347,54,藍領,高中以下,否,否,否,20,apr,1,350,失敗,3,0
U35473,44,老闆,大學,否,是,是,20,apr,1,-1,未知,3,0
U25899,35,管理,研究所,否,是,否,20,apr,1,273,失敗,3,0
U41033,24,藍領,大學,否,是,否,20,apr,3,306,失敗,3,0
U17960,35,管理,研究所,否,是,否,20,apr,3,-1,未知,3,1
U20379,37,工程,高中,否,是,否,20,apr,3,-1,未知,3,0
U30245,44,藍領,大學,是,是,否,20,apr,1,-1,未知,3,1
U18531,59,家管,研究所,否,否,否,20,apr,1,332,其他,3,0
U39153,34,工程,大學,否,是,否,20,apr,1,150,失敗,3,0
U28340,28,服務業,大學,否,是,否,20,apr,2,-1,未知,3,0
U45110,54,退休,大學,否,是,否,20,apr,1,349,失敗,3,0
U8262,26,藍領,高中,否,是,否,20,apr,1,300,成功,3,0
U31774,32,科技,研究所,否,是,否,20,apr,1,335,其他,3,0
U3112,40,老闆,大學,否,是,否,20,apr,2,-1,未知,3,0
U41896,38,老闆,高中以下,否,否,否,20,apr,3,-1,未知,3,0
U35214,38,服務業,大學,否,是,否,20,apr,2,328,失敗,3,0
U34266,34,科技,大學,否,是,否,20,apr,5,334,失敗,3,0
U20483,43,藍領,大學,否,是,否,20,apr,1,152,失敗,3,0
U460,34,藍領,大學,否,是,否,20,apr,2,332,其他,3,0
U8837,57,退休,高中,否,否,否,20,apr,2,-1,未知,3,0
U29967,36,老闆,大學,否,否,否,20,apr,1,-1,未知,3,0
U22595,36,藍領,大學,否,是,是,20,apr,1,326,成功,3,0
U24767,32,管理,研究所,否,是,否,20,apr,1,152,失敗,3,0
U43738,39,藍領,高中,否,是,否,20,apr,1,313,失敗,3,0
U26442,59,管理,研究所,否,是,否,20,apr,1,173,成功,3,0
U38976,34,藍領,大學,否,是,否,20,apr,1,150,其他,3,0
U12895,32,藍領,高中,否,是,否,20,apr,3,335,其他,3,0
U43744,40,藍領,大學,否,是,是,20,apr,3,151,其他,3,0
U2130,31,藍領,高中,否,是,否,20,apr,3,150,失敗,3,0
U14195,34,家管,研究所,否,是,否,20,apr,5,152,失敗,3,0
U31951,39,服務業,大學,否,是,是,20,apr,1,154,失敗,3,0
U38338,35,藍領,高中,否,是,否,20,apr,1,-1,未知,3,0
U15910,34,藍領,大學,否,是,否,20,apr,3,321,失敗,3,0
U22763,46,藍領,大學,否,是,否,20,apr,1,-1,未知,3,1
U4248,46,藍領,大學,否,是,否,20,apr,4,-1,未知,3,0
U7736,59,老闆,大學,否,是,是,20,apr,1,-1,未知,3,0
U21601,46,科技,大學,否,是,否,20,apr,1,-1,未知,3,0
U41828,32,管理,研究所,否,是,否,20,apr,1,-1,未知,3,0
U9699,27,老闆,大學,否,是,否,20,apr,5,322,其他,3,0
U6322,41,科技,研究所,否,是,否,20,apr,2,285,失敗,3,0
U38398,37,服務業,大學,否,是,是,20,apr,1,-1,未知,3,0
U29148,41,藍領,大學,否,是,是,20,apr,1,341,失敗,3,0
U1897,31,管理,研究所,否,是,否,20,apr,1,308,失敗,3,0
U28039,51,科技,大學,否,是,否,20,apr,5,-1,未知,3,0
U23804,59,服務業,高中,否,是,否,20,apr,1,-1,未知,3,0
U26189,32,科技,大學,否,是,否,20,apr,1,340,失敗,3,0
U38911,70,退休,大學,否,否,否,20,apr,2,-1,未知,3,1
U3729,59,管理,研究所,否,是,是,20,apr,1,-1,未知,3,1
U31013,44,藍領,大學,否,是,否,20,apr,1,154,失敗,3,0
U5711,33,藍領,大學,否,是,否,20,apr,1,-1,未知,3,0
U37750,34,老闆,大學,否,是,否,20,apr,1,334,其他,3,0
U2780,45,藍領,高中,是,是,是,20,apr,1,-1,未知,3,1
U26192,56,服務業,大學,否,是,否,20,apr,3,-1,未知,3,0
U18362,39,科技,研究所,否,否,否,20,apr,1,-1,未知,3,1
U4918,51,家管,研究所,否,是,是,20,apr,4,-1,未知,3,0
U14948,28,藍領,高中,否,是,否,20,apr,1,-1,未知,3,0
U34825,36,藍領,高中,否,是,否,20,apr,2,-1,未知,3,1
U21909,29,藍領,大學,否,是,是,20,apr,1,276,失敗,3,0
U22546,39,藍領,大學,否,是,否,20,apr,1,-1,未知,3,0
U44113,31,服務業,大學,否,是,否,20,apr,1,-1,未知,3,0
U15490,34,老闆,大學,否,是,否,20,apr,2,-1,未知,3,0
U19746,35,服務業,大學,否,是,否,20,apr,2,-1,未知,3,0
U18449,35,服務業,大學,否,是,否,20,apr,3,-1,未知,3,0
U38650,36,藍領,高中,否,是,否,20,apr,6,152,其他,3,0
U20355,35,藍領,大學,否,是,否,20,apr,1,-1,未知,3,0
U16054,32,管理,研究所,否,否,否,20,apr,2,150,失敗,3,0
U28243,43,藍領,高中,否,是,否,20,apr,2,263,失敗,3,0
U1457,33,藍領,高中,否,是,否,20,apr,1,-1,未知,3,0
U16064,20,學生,高中以下,否,否,否,20,apr,2,-1,未知,3,0
U21794,36,工程,大學,否,是,否,20,apr,1,154,失敗,3,0
U10858,40,藍領,大學,否,是,是,20,apr,2,-1,未知,3,0
U5505,59,管理,研究所,否,是,否,20,apr,2,242,失敗,3,0
U11727,34,藍領,大學,否,是,是,20,apr,4,-1,未知,3,0
U15444,37,藍領,高中,否,是,否,20,apr,2,-1,未知,3,0
U6490,55,管理,研究所,否,是,是,20,apr,1,287,失敗,3,0
U15641,31,管理,研究所,否,是,否,20,apr,1,326,其他,3,0
U11989,27,服務業,大學,否,是,否,20,apr,4,-1,未知,3,0
U40854,33,科技,大學,否,是,否,20,apr,3,236,失敗,3,0
U24243,43,藍領,大學,否,是,是,20,apr,1,-1,未知,3,0
U28681,41,老闆,高中,否,是,否,20,apr,1,326,失敗,3,0
U4803,28,藍領,研究所,否,是,否,20,apr,1,-1,未知,3,0
U3128,60,老闆,大學,否,是,否,20,apr,1,287,失敗,3,0
U10397,37,服務業,大學,否,是,否,20,apr,1,348,失敗,3,0
U7668,41,藍領,高中,否,是,否,20,apr,1,150,失敗,3,0
U33820,34,藍領,大學,否,是,是,20,apr,1,-1,未知,3,0
U22835,41,科技,研究所,否,是,否,20,apr,1,-1,未知,3,0
U3512,38,SOHO,大學,否,是,否,20,apr,1,-1,未知,3,0
U38394,42,工程,大學,否,是,是,20,apr,1,-1,未知,3,0
U5695,29,藍領,大學,否,是,否,20,apr,2,-1,未知,3,0
U26769,50,藍領,大學,否,是,是,20,apr,1,-1,未知,3,0
U7708,35,藍領,大學,否,是,否,20,apr,1,-1,未知,3,0
U44688,46,服務業,大學,否,是,否,20,apr,1,-1,未知,3,0
U15538,50,老闆,大學,否,是,否,20,apr,3,-1,未知,3,0
U10943,37,藍領,大學,否,是,否,20,apr,2,-1,未知,4,0
U8668,28,藍領,大學,否,是,否,20,apr,2,-1,未知,3,0
U17531,46,管理,研究所,否,是,否,17,apr,1,-1,未知,3,0
U17298,58,藍領,大學,否,是,否,17,apr,2,343,失敗,3,0
U25389,30,藍領,大學,否,是,否,17,apr,2,-1,未知,3,0
U36787,52,老闆,大學,否,是,否,17,apr,1,344,失敗,3,0
U23015,33,老闆,大學,否,是,否,17,apr,2,-1,未知,3,0
U36602,27,藍領,大學,否,是,是,17,apr,2,343,失敗,3,0
U44325,38,藍領,高中,否,是,否,17,apr,1,-1,未知,3,0
U39074,35,藍領,大學,否,是,否,17,apr,1,331,失敗,3,0
U15865,31,老闆,大學,否,否,否,17,apr,2,-1,未知,3,0
U20134,30,服務業,研究所,否,是,否,17,apr,1,-1,未知,3,0
U28264,33,藍領,大學,否,是,是,17,apr,2,-1,未知,3,0
U1375,37,管理,研究所,否,是,否,17,apr,2,-1,未知,3,0
U31401,33,SOHO,研究所,否,是,否,17,apr,1,-1,未知,3,0
U9293,42,家管,大學,否,是,是,17,apr,2,-1,未知,3,0
U22667,42,藍領,大學,否,是,否,17,apr,3,-1,未知,3,0
U17407,33,藍領,大學,否,是,否,17,apr,1,148,失敗,3,0
U39962,31,藍領,高中,否,是,否,17,apr,1,-1,未知,3,0
U12993,45,科技,大學,否,是,否,17,apr,4,-1,未知,3,0
